subject_name,subject_abbreviation,course_number,course_name
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,500,Molecular Biology Techniques
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,699,Special Problems
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,371,Medical Entomology
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,712,Sequence Analysis Lab
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,350,Parasitology
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,548,Diseases of Wildlife
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,150,Topics & Careers in Vet Sci
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,720,Advanced Immunology: Critical Thinking
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,773,Eukaryotic Microb Pathogenesis
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,711,Sequence Analysis
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,529,Immunology Laboratory
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,351,Parasitology Laboratory
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,681,null
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,920,Thesis Research Seminar
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,299,Independent Study
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,930,Advanced Seminar
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,990,Research
ANIMAL HEALTH AND BIOMEDICAL SCIENCES,AHABS,799,Pract-Veterinary Sci Tchg
Accounting and Information Systems,ACCT I S,702,Financial Reporting II
Accounting and Information Systems,ACCT I S,711,Strategic Cost Management
Accounting and Information Systems,ACCT I S,630,Audit and Assurance Services
Accounting and Information Systems,ACCT I S,706,Advanced Financial Reporting
Accounting and Information Systems,ACCT I S,771,Seminar in Strategic Cost Management and Performance Measurement
Accounting and Information Systems,ACCT I S,701,Financial Reporting I
Accounting and Information Systems,ACCT I S,799,Reading and Research-Accounting
Accounting and Information Systems,ACCT I S,631,"Information Technology, Risk, and Assurance Services"
Accounting and Information Systems,ACCT I S,990,Accounting Independent Research PhD Thesis
Accounting and Information Systems,ACCT I S,310,Cost Management Systems.
Accounting and Information Systems,ACCT I S,600,Accountancy Internship and Practice Research
Accounting and Information Systems,ACCT I S,621,Corporate and Advanced Taxation
Accounting and Information Systems,ACCT I S,700,Financial Accounting
Accounting and Information Systems,ACCT I S,722,Taxation of Pass-Through Entities
Accounting and Information Systems,ACCT I S,971,Seminar in Accounting Research
Accounting and Information Systems,ACCT I S,406,Advanced Financial Reporting
Accounting and Information Systems,ACCT I S,724,Research and Administrative Issues in Taxation
Accounting and Information Systems,ACCT I S,772,Seminar in Current Taxation Topics
Accounting and Information Systems,ACCT I S,601,Professional Practice Issues in Accounting and Auditing
Accounting and Information Systems,ACCT I S,765,Contemporary Topics
Accounting and Information Systems,ACCT I S,365,Contemporary Topics
Accounting and Information Systems,ACCT I S,723,Federal Estate&Gift Taxatn
Accounting and Information Systems,ACCT I S,399,Reading and Research-Accounting
Accounting and Information Systems,ACCT I S,999,Reading and Research-Accounting PhD
Accounting and Information Systems,ACCT I S,340,Accounting Systems
Accounting and Information Systems,ACCT I S,302,Financial Reporting II
Accounting and Information Systems,ACCT I S,300,Accounting Principles
Accounting and Information Systems,ACCT I S,301,Financial Reporting I
Accounting and Information Systems,ACCT I S,725,Taxation of Cross-Jurisdictional Transactions
Accounting and Information Systems,ACCT I S,726,Advanced Corporate Taxation
Accounting and Information Systems,ACCT I S,100,Introductory Financial Accounting
Accounting and Information Systems,ACCT I S,770,Seminar in Financial Reporting Theory
Accounting and Information Systems,ACCT I S,603,Financial Statement Analysis
Accounting and Information Systems,ACCT I S,211,Introductory Managerial Accounting
Accounting and Information Systems,ACCT I S,620,Fundamentals of Taxation
Accounting and Information Systems,ACCT I S,710,Managerial Accounting
Accounting and Information Systems,ACCT I S,740,Business Informatn Consulting
Actuarial Science,ACT SCI,652,Loss Models I
Actuarial Science,ACT SCI,651,Actuarial Mathematics II
Actuarial Science,ACT SCI,655,Health Analytics
Actuarial Science,ACT SCI,654,Regression and Time Series for Actuaries
Actuarial Science,ACT SCI,650,Actuarial Mathematics I
Actuarial Science,ACT SCI,301,Actuarial Science Methods II
Actuarial Science,ACT SCI,300,Actuarial Science Methods I
Actuarial Science,ACT SCI,653,Loss Models II
Actuarial Science,ACT SCI,365,Contemporary Topics
African Languages and Literature,AFRICAN,338,Fourth Semester-A Language of Southern Africa
African Languages and Literature,AFRICAN,440,African/Francophone Film
African Languages and Literature,AFRICAN,905,Seminar in African Cultural Studies: Topics
African Languages and Literature,AFRICAN,130,Introduction to Swahili Culture
African Languages and Literature,AFRICAN,352,Second Semester Xhosa
African Languages and Literature,AFRICAN,353,Third Semester Xhosa
African Languages and Literature,AFRICAN,494,6th Sem Lang-Southrn Africa
African Languages and Literature,AFRICAN,451,Lusophone African Literature
African Languages and Literature,AFRICAN,373,Third Semester Yoruba
African Languages and Literature,AFRICAN,445,Readings in Advanced Arabic Texts
African Languages and Literature,AFRICAN,671,Multilanguage Seminar
African Languages and Literature,AFRICAN,435,Advanced Studies in Swahili Language-Grammar
African Languages and Literature,AFRICAN,335,First Semester-A Language of Southern Africa
African Languages and Literature,AFRICAN,393,3rd Sem-Lang of West Africa
African Languages and Literature,AFRICAN,436,Advanced Studies in Swahili Language-Readings
African Languages and Literature,AFRICAN,332,Second Semester Swahili
African Languages and Literature,AFRICAN,361,First Semester Hausa
African Languages and Literature,AFRICAN,902,Smr-Traditional African Lit
African Languages and Literature,AFRICAN,699,Directed Study
African Languages and Literature,AFRICAN,325,Colloquial Arabic
African Languages and Literature,AFRICAN,453,Modern African Literature in English
African Languages and Literature,AFRICAN,925,Seminar in Field Methods in African Languages and Literature
African Languages and Literature,AFRICAN,605,Advanced Topics in African Cultural Studies
African Languages and Literature,AFRICAN,697,Directed Study of a Less Commonly Taught Language
African Languages and Literature,AFRICAN,120,Introduction to Arabic Literary Culture
African Languages and Literature,AFRICAN,301,Intro-African Linguistics
African Languages and Literature,AFRICAN,493,"5th Sem, Lang of S Africa"
African Languages and Literature,AFRICAN,466,Adv Studies-Hausa Lang-Rdgs
African Languages and Literature,AFRICAN,901,Seminar in Modern African Literature
African Languages and Literature,AFRICAN,331,First Semester Swahili
African Languages and Literature,AFRICAN,503,Linguistics-Morphlgy&Syntax
African Languages and Literature,AFRICAN,955,Smr-African Mythology
African Languages and Literature,AFRICAN,496,"Sixth Semester, A Language of Northern Africa"
African Languages and Literature,AFRICAN,703,Topics in Teaching African Languages
African Languages and Literature,AFRICAN,495,"Fifth Semester, A Language of Northern Africa"
African Languages and Literature,AFRICAN,609,Advanced Topics in Global Black Music Studies
African Languages and Literature,AFRICAN,333,Third Semester Swahili
African Languages and Literature,AFRICAN,392,Second Semester-A Language of West Africa
African Languages and Literature,AFRICAN,322,Second Semester Arabic
African Languages and Literature,AFRICAN,212,Introduction to African Popular Culture
African Languages and Literature,AFRICAN,399,Directed Study of an African Language
African Languages and Literature,AFRICAN,351,First Semester Xhosa
African Languages and Literature,AFRICAN,230,Introduction to Yoruba Life and Culture
African Languages and Literature,AFRICAN,700,Reading and Writing African Cultural Studies
African Languages and Literature,AFRICAN,501,Struct&Analysis-Afric Langs
African Languages and Literature,AFRICAN,903,Seminar-African Linguistics
African Languages and Literature,AFRICAN,391,First Semester-A Language of West Africa
African Languages and Literature,AFRICAN,999,Independent Reading and Research
African Languages and Literature,AFRICAN,475,Fifth Semester Yoruba
African Languages and Literature,AFRICAN,446,Readings in Advanced Arabic Texts
African Languages and Literature,AFRICAN,394,4th Sem-Lang of West Africa
African Languages and Literature,AFRICAN,303,African Literature and Visual Culture
African Languages and Literature,AFRICAN,100,Introduction to African Cultural Expression
African Languages and Literature,AFRICAN,372,Second Semester Yoruba
African Languages and Literature,AFRICAN,702,African Verbal Stylistics
African Languages and Literature,AFRICAN,300,African Literature in Translation
African Languages and Literature,AFRICAN,497,"5th Sem, Lang of W Africa"
African Languages and Literature,AFRICAN,201,Introduction to African Literature
African Languages and Literature,AFRICAN,701,Advanced Topics in African Linguistics
African Languages and Literature,AFRICAN,670,Theories and Methods of Learning a Less Commonly Taught Language
African Languages and Literature,AFRICAN,334,Fourth Semester Swahili
African Languages and Literature,AFRICAN,575,Methods of Teaching African Languages: Theory and Practice
African Languages and Literature,AFRICAN,371,First Semester Yoruba
African Languages and Literature,AFRICAN,211,The African Autobiography
African Languages and Literature,AFRICAN,374,Fourth Semester Yoruba
African Languages and Literature,AFRICAN,324,Fourth Semester Arabic
African Languages and Literature,AFRICAN,307,null
African Languages and Literature,AFRICAN,990,Thesis
African Languages and Literature,AFRICAN,705,Teaching Portfolio
African Languages and Literature,AFRICAN,354,Fourth Semester Xhosa
African Languages and Literature,AFRICAN,402,Theory of African Literature
African Languages and Literature,AFRICAN,802,Theory and Criticism of African Literature
African Languages and Literature,AFRICAN,321,First Semester Arabic
African Languages and Literature,AFRICAN,326,Colloquial Arabic
African Languages and Literature,AFRICAN,498,"6th Sem, Lang of W Africa"
African Languages and Literature,AFRICAN,336,Second Semester-A Language of Southern Africa
African Languages and Literature,AFRICAN,405,Topics in African Cultural Studies
African Languages and Literature,AFRICAN,500,Language and Society in Africa
African Languages and Literature,AFRICAN,476,Sixth Semester Yoruba
African Languages and Literature,AFRICAN,669,Special Topics
African Languages and Literature,AFRICAN,323,Third Semester Arabic
African Languages and Literature,AFRICAN,337,Third Semester-A Language of Southern Africa
African Languages and Literature,AFRICAN,362,Second Semester Hausa
African Languages and Literature,AFRICAN,306,Hausa Verbal Arts in Translatn
African Languages and Literature,AFRICAN,412,Contemporary African Fiction
African Languages and Literature,AFRICAN,935,S African Oral&Written Lit
Afro-American Studies,AFROAMER,309,Black Music (1920-Present): Vocalist/Trombone/Misc Instrumental
Afro-American Studies,AFROAMER,333,Black Feminisms
Afro-American Studies,AFROAMER,222,Introduction to Black Women Writers
Afro-American Studies,AFROAMER,669,Interdisciplinary Studies in the Arts
Afro-American Studies,AFROAMER,156,Black Music and American Cultural History
Afro-American Studies,AFROAMER,567,History of African American Education
Afro-American Studies,AFROAMER,324,Black Women in America: Reconstruction to the Present
Afro-American Studies,AFROAMER,151,Introduction to Contemporary Afro-American Society
Afro-American Studies,AFROAMER,699,Directed Study in Afro-American Studies
Afro-American Studies,AFROAMER,323,"Gender, Race and Class: Women in U.S. History"
Afro-American Studies,AFROAMER,423,Black Feminisms
Afro-American Studies,AFROAMER,442,Discrimntn&Prejudice-Am Soc
Afro-American Studies,AFROAMER,603,The Black Arts Movement
Afro-American Studies,AFROAMER,678,Mod/Cntmp Art-Nigeria&Diaspora
Afro-American Studies,AFROAMER,311,Black Music (1920-Present): The Saxophone
Afro-American Studies,AFROAMER,671,Selected Topics in Afro-American History
Afro-American Studies,AFROAMER,456,Soul Music and the African American Freedom Movement
Afro-American Studies,AFROAMER,413,Contemporary African and Caribbean Drama
Afro-American Studies,AFROAMER,265,African-American Autobiography
Afro-American Studies,AFROAMER,310,Black Music (1920-Present): The Trumpet
Afro-American Studies,AFROAMER,540,Art of Afro-Am Women in US
Afro-American Studies,AFROAMER,631,Colloquium in Afro-American History
Afro-American Studies,AFROAMER,467,Slavery in the Amer South
Afro-American Studies,AFROAMER,326,Race and Gender in Post-World War II U.S. Society
Afro-American Studies,AFROAMER,271,Selected Topics in African American Culture
Afro-American Studies,AFROAMER,225,Introduction to African American Dramatic Literature
Afro-American Studies,AFROAMER,275,"Science, Medicine, and Race: A History"
Afro-American Studies,AFROAMER,602,The Harlem Renaissance
Afro-American Studies,AFROAMER,509,null
Afro-American Studies,AFROAMER,155,They: Race in Amer Lit
Afro-American Studies,AFROAMER,525,Major Authors
Afro-American Studies,AFROAMER,227,Masterpieces of African American Literature
Afro-American Studies,AFROAMER,672,Selected Topics in Afro-American Literature
Afro-American Studies,AFROAMER,338,The Black Arts Movement
Afro-American Studies,AFROAMER,154,Hip-Hop and Contemporary American Society
Afro-American Studies,AFROAMER,501,19th Century Afro-American Literature
Afro-American Studies,AFROAMER,673,Selected Topics in Afro-American Society
Afro-American Studies,AFROAMER,233,Global HipHop and Social Justice
Afro-American Studies,AFROAMER,679,"Visual Culture, Gender and Critical Race Theory"
Afro-American Studies,AFROAMER,231,Introduction to Afro-American History
Afro-American Studies,AFROAMER,624,Afr Am Women's Activism 19-20C
Afro-American Studies,AFROAMER,424,Women's International Human Rights
Afro-American Studies,AFROAMER,691,Senior Thesis
Afro-American Studies,AFROAMER,523,"Race, American Medicine and Public Health"
Afro-American Studies,AFROAMER,272,Race and American Politics from the New Deal to the New Right
Afro-American Studies,AFROAMER,675,Selected Topics in Afro-American Culture
Afro-American Studies,AFROAMER,677,Critical and Theoretical Perspectives in Black Women's Writings
Afro-American Studies,AFROAMER,692,Senior Thesis
Afro-American Studies,AFROAMER,308,Black Music (1920-Present): Rhythm Section and Combos
Afro-American Studies,AFROAMER,674,Topics on Afro-Amer Artists
Afro-American Studies,AFROAMER,790,Research and Thesis
Afro-American Studies,AFROAMER,367,Art and Visual Culture: Women of the African Diaspora and Africa
Afro-American Studies,AFROAMER,366,Artistc/Cult Image-Bl Women
Afro-American Studies,AFROAMER,199,Directed Study
Afro-American Studies,AFROAMER,469,Interdisciplinary Studies in the Arts
Afro-American Studies,AFROAMER,302,Undergraduate Studies in Afro-American History
Afro-American Studies,AFROAMER,220,"HipHop, Youth Culture, and Politics in Senegal"
Afro-American Studies,AFROAMER,221,Introduction to Black Women's Studies
Afro-American Studies,AFROAMER,400,"Mus Cultr: Afr, Eur, Amers"
Afro-American Studies,AFROAMER,625,"Gender, Race and the Civil Rights Movement"
Afro-American Studies,AFROAMER,605,Crit&Theor Iss: Afro-Am Lit
Afro-American Studies,AFROAMER,303,"Blacks, Film, and Society"
Agricultural and Applied Economics,A A E,999,Special Work - Agricultural and Applied Economics
Agricultural and Applied Economics,A A E,875,Special Topics
Agricultural and Applied Economics,A A E,746,Frontiers in Agricultural Economics 1
Agricultural and Applied Economics,A A E,777,Survey and Sample Design in Applied Economics
Agricultural and Applied Economics,A A E,741,Advanced Policy Analysis
Agricultural and Applied Economics,A A E,682,Senior Honors Thesis
Agricultural and Applied Economics,A A E,799,Practicum in Agricultural and Applied Economics Teaching
Agricultural and Applied Economics,A A E,762,Frontiers in Environmental and Natural Resource Economics 2
Agricultural and Applied Economics,A A E,636,Applied Econometric Analysis I
Agricultural and Applied Economics,A A E,319,The International Agricultural Economy
Agricultural and Applied Economics,A A E,773,Seminar in Resource and Energy Demand Analysis
Agricultural and Applied Economics,A A E,990,Research and Thesis
Agricultural and Applied Economics,A A E,835,Game Theory and Political Analysis
Agricultural and Applied Economics,A A E,771,Microeconomics of Resources and Energy: Theory to Practice
Agricultural and Applied Economics,A A E,731,Frontiers in Development Economics 2
Agricultural and Applied Economics,A A E,729,Microdynamics-Envir&Developmt
Agricultural and Applied Economics,A A E,699,Special Problems
Agricultural and Applied Economics,A A E,520,Community Economic Analysis
Agricultural and Applied Economics,A A E,780,Research Colloquium
Agricultural and Applied Economics,A A E,737,Applied Econometric Analysis III
Agricultural and Applied Economics,A A E,774,Practicum in Resource and Energy Demand Analysis I
Agricultural and Applied Economics,A A E,323,Cooperatives
Agricultural and Applied Economics,A A E,375,Special Topics
Agricultural and Applied Economics,A A E,730,Frontiers in Development Economics 1
Agricultural and Applied Economics,A A E,641,Foundations of Agricultural Economics
Agricultural and Applied Economics,A A E,642,Foundations of Development Economics
Agricultural and Applied Economics,A A E,691,Senior Thesis
Agricultural and Applied Economics,A A E,732,Economics of Development 3
Agricultural and Applied Economics,A A E,320,Farming Systems Management
Agricultural and Applied Economics,A A E,1,Cooperative Education/Co-op in Agricultural & Applied Economics
Agricultural and Applied Economics,A A E,681,Senior Honors Thesis
Agricultural and Applied Economics,A A E,419,Agricultural Finance
Agricultural and Applied Economics,A A E,643,Foundations of Environmental and Natural Resource Economics
Agricultural and Applied Economics,A A E,706,Applied Risk Analysis
Agricultural and Applied Economics,A A E,299,Independent Study
Agricultural and Applied Economics,A A E,635,Applied Microeconomic Theory
Agricultural and Applied Economics,A A E,705,Applied Microeconomics
Agricultural and Applied Economics,A A E,575,Special Topics
Agricultural and Applied Economics,A A E,399,Coordinative Internship/Cooperative Education
Agricultural and Applied Economics,A A E,540,"Intellectual Property Rights, Innovation and Technology"
Agricultural and Applied Economics,A A E,500,Senior Capstone Experience
Agricultural and Applied Economics,A A E,322,Commodity Markets
Agricultural and Applied Economics,A A E,215,Introduction to Agricultural and Applied Economics
Agricultural and Applied Economics,A A E,246,Climate Change Economics and Policy
Agricultural and Applied Economics,A A E,760,Frontiers in Environmental and Natural Resource Economics 1
Agricultural and Applied Economics,A A E,340,Issues in Food Systems
Agricultural and Applied Economics,A A E,772,Applied Econometrics of Resource and Energy Demand
Agricultural and Applied Economics,A A E,637,Applied Econometric Analysis II
Agricultural and Applied Economics,A A E,692,Senior Thesis
Agroecology,AGROECOL,699,Special Problems
Agroecology,AGROECOL,720,Agroecology Field Study
Agroecology,AGROECOL,710,Agroecology Seminar
Agroecology,AGROECOL,103,Agroecology: An Introduction to the Ecology of Food and Agriculture
Agroecology,AGROECOL,724,Agroecosystems and Global Change
Agroecology,AGROECOL,371,Managed Grazing Field Study
Agroecology,AGROECOL,701,The Farm as Socio-Environmental Endeavor
Agroecology,AGROECOL,875,Topics in Agroecology
Agroecology,AGROECOL,990,Research
Agroecology,AGROECOL,702,The Multifunctionality of Agriculture
Agronomy,AGRONOMY,772,Applications in ANOVA
Agronomy,AGRONOMY,681,Senior Honors Thesis
Agronomy,AGRONOMY,799,Practicum in Agronomy Teaching
Agronomy,AGRONOMY,299,Independent Study
Agronomy,AGRONOMY,771,Experimental Designs
Agronomy,AGRONOMY,399,Coordinative Internship/Cooperative Education
Agronomy,AGRONOMY,500,Senior Capstone Experience
Agronomy,AGRONOMY,377,Cropping Systems of the Tropics
Agronomy,AGRONOMY,300,Cropping Systems
Agronomy,AGRONOMY,875,Special Topics
Agronomy,AGRONOMY,682,Senior Honors Thesis
Agronomy,AGRONOMY,375,Special Topics
Agronomy,AGRONOMY,990,Research
Agronomy,AGRONOMY,100,Principles and Practices in Crop Production
Agronomy,AGRONOMY,699,Special Problems
Agronomy,AGRONOMY,920,Seminar
Agronomy,AGRONOMY,302,Forage Management and Utilization
Air Force Aerospace Studies,A F AERO,303,Leadership Studies I
Air Force Aerospace Studies,A F AERO,304,Leadership Studies II
Air Force Aerospace Studies,A F AERO,301,Leadership Studies I
Air Force Aerospace Studies,A F AERO,202,The Evolution of US Air and Space Power II
Air Force Aerospace Studies,A F AERO,402,Preparation for Active Duty
Air Force Aerospace Studies,A F AERO,201,The Evolution of US Air and Space Power I
Air Force Aerospace Studies,A F AERO,302,Leadership Studies II
Air Force Aerospace Studies,A F AERO,102,The Foundations of the United States Air Force II
Air Force Aerospace Studies,A F AERO,401,National Security Affairs
Air Force Aerospace Studies,A F AERO,101,The Foundations of the United States Air Force I
American Indian Studies,AMER IND,359,Am Ind Art Histry: Contemp Iss
American Indian Studies,AMER IND,490,American Indian History
American Indian Studies,AMER IND,941,Indians and Empires
American Indian Studies,AMER IND,371,Survey of North American Indian Languages
American Indian Studies,AMER IND,578,Poverty and Place
American Indian Studies,AMER IND,546,Writing Tribal Histories
American Indian Studies,AMER IND,471,Ethnohist-Am Indian: Relig&Pol
American Indian Studies,AMER IND,317,Peoples&Cultures-the Arctic
American Indian Studies,AMER IND,100,Introduction to American Indian Studies
American Indian Studies,AMER IND,354,Archaeology of Wisconsin
American Indian Studies,AMER IND,658,American Indian Affairs
American Indian Studies,AMER IND,150,Amer Indians in Higher Educ
American Indian Studies,AMER IND,172,Literatures of Native America
American Indian Studies,AMER IND,250,Indians of Wisconsin
American Indian Studies,AMER IND,402,Ojibwe Language IV
American Indian Studies,AMER IND,301,First Semester Ojibwe
American Indian Studies,AMER IND,320,Native Peoples of the Southwest
American Indian Studies,AMER IND,314,Indians of North America
American Indian Studies,AMER IND,151,Amer Ind in Sci&Humanities
American Indian Studies,AMER IND,431,American Indian Folklore
American Indian Studies,AMER IND,942,"Amer Indian Hist, 1800-present"
American Indian Studies,AMER IND,353,Indians-Western Great Lakes
American Indian Studies,AMER IND,325,American Indians in Film
American Indian Studies,AMER IND,516,Indians & Spanish Borderlands
American Indian Studies,AMER IND,401,Ojibwe Language III
American Indian Studies,AMER IND,450,Issues in American Indian Studies
American Indian Studies,AMER IND,639,Am Indians-Contemporary Soc
American Indian Studies,AMER IND,474,Ethnobotany
American Indian Studies,AMER IND,355,Archaeol of Eastern N Amer
American Indian Studies,AMER IND,437,American Indian Women
American Indian Studies,AMER IND,302,Second Semester Ojibwe
American Indian Studies,AMER IND,699,Directed Study
Anatomy,ANATOMY,990,Research and Thesis
Anatomy,ANATOMY,328,Human Anatomy
Anatomy,ANATOMY,675,Topics in Anatomy
Anatomy,ANATOMY,710,Cell Structure and Function
Anatomy,ANATOMY,329,Human Anatomy-Kinesiology
Anatomy,ANATOMY,699,Independent Study
Anatomy,ANATOMY,637,Functional Neuroanatomy
Anatomy,ANATOMY,711,Integrated Medical Anatomy
Anatomy,ANATOMY,700,Cytoskeletal Dynamics
Anesthesiology,ANESTHES,921,Clinical Anesthesia Clerkship-LaCrosse
Anesthesiology,ANESTHES,910,Laboratory Research in Anesthesiology-CSC
Anesthesiology,ANESTHES,950,Advanced Anesthesiology Workshop
Anesthesiology,ANESTHES,699,Independent Study
Anesthesiology,ANESTHES,812,Third Year Anesthesia
Anesthesiology,ANESTHES,920,Clinical Anesthesia Clerkship-CSC
Anesthesiology,ANESTHES,919,Individualized Fourth Year Clinical Clerkship
Anesthesiology,ANESTHES,930,Advanced Cardiac Life Support (ACLS)
Animal Sciences,AN SCI,399,Coordinative Internship/Cooperative Education
Animal Sciences,AN SCI,799,Practicum in Animal Sciences Teaching
Animal Sciences,AN SCI,221,Advanced Meat Animal Evaluation Lab
Animal Sciences,AN SCI,431,Beef Cattle Production
Animal Sciences,AN SCI,521,Birds of Southern Wisconsin
Animal Sciences,AN SCI,432,Swine Production
Animal Sciences,AN SCI,220,"Growth, Composition and Evaluation of Meat Animals"
Animal Sciences,AN SCI,321,Food Laws and Regulations
Animal Sciences,AN SCI,725,Muscle Biology
Animal Sciences,AN SCI,415,Application of Monogastric Nutrition Principles
Animal Sciences,AN SCI,875,Special Topics
Animal Sciences,AN SCI,433,Equine Business & Management
Animal Sciences,AN SCI,305,Introduction to Meat Science and Technology
Animal Sciences,AN SCI,626,Experimental Diet Design
Animal Sciences,AN SCI,430,Sheep Production
Animal Sciences,AN SCI,299,Independent Study
Animal Sciences,AN SCI,250,Horse Science and Management
Animal Sciences,AN SCI,515,Commercial Meat Processing
Animal Sciences,AN SCI,699,Special Problems
Animal Sciences,AN SCI,150,Career Orientation Animal/Poultry Sciences
Animal Sciences,AN SCI,404,Vertebrate Physiology
Animal Sciences,AN SCI,710,Chemistry of the Food Lipids
Animal Sciences,AN SCI,110,Animal Handling
Animal Sciences,AN SCI,610,Quantitative Genetics
Animal Sciences,AN SCI,849,Genetic Epidemiology
Animal Sciences,AN SCI,520,Ornithology
Animal Sciences,AN SCI,990,Research
Animal Sciences,AN SCI,375,Special Topics
Animal Sciences,AN SCI,289,Honors Independent Study
Animal Sciences,AN SCI,954,Seminar in Endocrinology-Reproductive Physiology
Animal Sciences,AN SCI,435,Animal Sciences Proseminar
Animal Sciences,AN SCI,200,The Biology and Appreciation of Companion Animals
Animal Sciences,AN SCI,681,Senior Honor Thesis
Animal Sciences,AN SCI,682,Senior Honors Thesis
Animal Sciences,AN SCI,1,Cooperative Education/Co-op in Animal Sciences
Anthropology,ANTHRO,424,Historical Anthropology
Anthropology,ANTHRO,691,Senior Thesis
Anthropology,ANTHRO,105,Principles of Biological Anthropology
Anthropology,ANTHRO,490,Undergraduate Seminar
Anthropology,ANTHRO,606,"Ethnicity, Nations, and Nationalism"
Anthropology,ANTHRO,321,The Emergence of Human Culture
Anthropology,ANTHRO,330,Topics in Ethnology
Anthropology,ANTHRO,318,Peoples & Cultures-Africa
Anthropology,ANTHRO,102,Archaeology and the Prehistoric World
Anthropology,ANTHRO,477,"Anthropology, Environment, and Development"
Anthropology,ANTHRO,411,"The Evolution of the Genus, Homo"
Anthropology,ANTHRO,692,Senior Thesis
Anthropology,ANTHRO,362,Elementary Quechua
Anthropology,ANTHRO,970,Seminar in Anthropology and Education
Anthropology,ANTHRO,391,Bones for the Archaeologist
Anthropology,ANTHRO,357,Introduction to the Anthropology of Japan
Anthropology,ANTHRO,333,Prehistory of Africa
Anthropology,ANTHRO,690,Problems in Anthropology
Anthropology,ANTHRO,682,Senior Honors Thesis
Anthropology,ANTHRO,322,The Origins of Civilization
Anthropology,ANTHRO,303,Human Skeletal Anatomy
Anthropology,ANTHRO,358,Anthropology of China
Anthropology,ANTHRO,456,Symbolic Anthropology
Anthropology,ANTHRO,909,Research Methods and Research Design in Cultural Anthropology
Anthropology,ANTHRO,100,General Anthropology
Anthropology,ANTHRO,346,Peoples and Cultures of Russia
Anthropology,ANTHRO,307,Urban Anthropology
Anthropology,ANTHRO,365,Medical Anthropology
Anthropology,ANTHRO,917,Globalization and Transnational Cultures
Anthropology,ANTHRO,350,Political Anthropology
Anthropology,ANTHRO,309,Prehistoric Europe
Anthropology,ANTHRO,545,Psychological Anthropology
Anthropology,ANTHRO,940,Seminar-Problems in Cultural Anthropology
Anthropology,ANTHRO,120,Freshman/Sophomore Seminar in Anthropology
Anthropology,ANTHRO,311,Archaeological Chemistry
Anthropology,ANTHRO,668,Primate Conservation
Anthropology,ANTHRO,370,Field Course in Archaeology
Anthropology,ANTHRO,376,First Semester Yucatec Maya
Anthropology,ANTHRO,338,Intro-Prehistory&Archaeol Prin
Anthropology,ANTHRO,448,Anthropology of Law
Anthropology,ANTHRO,528,Anthropology of Drugs
Anthropology,ANTHRO,327,Peoples of the Andes Today
Anthropology,ANTHRO,310,Topics in Archaeology
Anthropology,ANTHRO,699,Directed Study
Anthropology,ANTHRO,860,History of Anthropological Theory
Anthropology,ANTHRO,570,Anthropology and Education
Anthropology,ANTHRO,231,Introduction to Social Medicine
Anthropology,ANTHRO,361,Elementary Quechua
Anthropology,ANTHRO,681,Senior Honors Thesis
Anthropology,ANTHRO,345,"Family, Kin and Community in Anthropological Perspective"
Anthropology,ANTHRO,641,The Evolution of Human Diet
Anthropology,ANTHRO,301,Introduction to Linguistics: Descriptive and Theoretical
Anthropology,ANTHRO,658,Ecological Models-Behavior
Anthropology,ANTHRO,340,"Music, Race, And Culture in Brazil"
Anthropology,ANTHRO,942,Seminar-Archaeological Problems
Anthropology,ANTHRO,377,Second Semester Yucatec Maya
Anthropology,ANTHRO,304,"Heredity, Environment and Human Populations"
Anthropology,ANTHRO,364,Advanced Quechua
Anthropology,ANTHRO,900,Fundamentals of Anthropological Theory
Anthropology,ANTHRO,300,Cultural Anthropology: Theory and Ethnography
Anthropology,ANTHRO,990,Research and Thesis
Anthropology,ANTHRO,104,Cultural Anthropology and Human Diversity
Anthropology,ANTHRO,696,Archaeological Methods of Curation
Anthropology,ANTHRO,369,Peoples and Cultures of Central and Eastern Europe
Anthropology,ANTHRO,901,Intradis Smr-Anthropology
Anthropology,ANTHRO,601,Proseminar in Biological Anthropology
Anthropology,ANTHRO,677,Public Monuments and Symbols
Anthropology,ANTHRO,999,Reading and Research
Anthropology,ANTHRO,698,Directed Study
Anthropology,ANTHRO,237,"Cut 'n' Mix: Music, Race, and Culture in the Caribbean"
